,NO_1,NO_2,NO_3,DK_1,DK_2,DE_LU
2020-01-01 00:00:00+01:00,0.03182,0.03182,0.02878,0.03342,0.03342,0.04188
2020-01-01 01:00:00+01:00,0.03177,0.03177,0.02845,0.03177,0.03177,0.0386
2020-01-01 02:00:00+01:00,0.03157,0.03157,0.027899999999999998,0.03157,0.03157,0.03655
2020-01-01 03:00:00+01:00,0.03128,0.03128,0.02752,0.03128,0.03128,0.03232
2020-01-01 04:00:00+01:00,0.030719999999999997,0.030719999999999997,0.02754,0.030850000000000002,0.030850000000000002,0.030850000000000002
2020-01-01 05:00:00+01:00,0.03027,0.03027,0.02655,0.03014,0.03014,0.03014
2020-01-01 06:00:00+01:00,0.030170000000000002,0.030170000000000002,0.02583,0.030170000000000002,0.030170000000000002,0.030170000000000002
2020-01-01 07:00:00+01:00,0.03014,0.03014,0.025070000000000002,0.03,0.03,0.03
2020-01-01 08:00:00+01:00,0.03049,0.03049,0.02565,0.030629999999999998,0.030629999999999998,0.03065
2020-01-01 09:00:00+01:00,0.03059,0.03059,0.02615,0.03059,0.03059,0.03065
2020-01-01 10:00:00+01:00,0.03027,0.03027,0.02677,0.03027,0.03027,0.03027
2020-01-01 11:00:00+01:00,0.03034,0.03034,0.027399999999999997,0.03034,0.03034,0.03034
2020-01-01 12:00:00+01:00,0.03059,0.03059,0.028079999999999997,0.03059,0.03059,0.030989999999999997
2020-01-01 13:00:00+01:00,0.030379999999999997,0.030379999999999997,0.02869,0.03004,0.03004,0.03004
2020-01-01 14:00:00+01:00,0.030600000000000002,0.030600000000000002,0.02937,0.030600000000000002,0.030600000000000002,0.03075
2020-01-01 15:00:00+01:00,0.03109,0.03109,0.02997,0.03109,0.03109,0.03211
2020-01-01 16:00:00+01:00,0.03153,0.03153,0.03046,0.03153,0.03153,0.03598
2020-01-01 17:00:00+01:00,0.03178,0.03178,0.03039,0.03178,0.03178,0.0404
2020-01-01 18:00:00+01:00,0.03164,0.03164,0.03006,0.03164,0.03164,0.04405
2020-01-01 19:00:00+01:00,0.03144,0.03144,0.02938,0.03144,0.03144,0.04315
2020-01-01 20:00:00+01:00,0.03135,0.03135,0.027649999999999997,0.03135,0.03135,0.04345
2020-01-01 21:00:00+01:00,0.03107,0.03107,0.027329999999999997,0.03107,0.03107,0.04068
2020-01-01 22:00:00+01:00,0.03096,0.03096,0.02588,0.03096,0.03096,0.04027
2020-01-01 23:00:00+01:00,0.03061,0.03061,0.02481,0.03061,0.03061,0.03485
2020-01-02 00:00:00+01:00,0.030780000000000002,0.030780000000000002,0.01207,0.030780000000000002,0.030780000000000002,0.0354
2020-01-02 01:00:00+01:00,0.03064,0.03064,0.013130000000000001,0.03064,0.03064,0.03198
2020-01-02 02:00:00+01:00,0.03043,0.03043,0.01907,0.03043,0.03043,0.0305
2020-01-02 03:00:00+01:00,0.02984,0.02984,0.02112,0.02879,0.02879,0.02879
2020-01-02 04:00:00+01:00,0.0299,0.0299,0.02429,0.02842,0.02842,0.02842
2020-01-02 05:00:00+01:00,0.030440000000000002,0.030440000000000002,0.026269999999999998,0.02875,0.02875,0.02875
2020-01-02 06:00:00+01:00,0.03168,0.03168,0.027739999999999997,0.03338,0.034159999999999996,0.034159999999999996
2020-01-02 07:00:00+01:00,0.03179,0.03179,0.028390000000000002,0.03179,0.04207,0.04207
2020-01-02 08:00:00+01:00,0.03183,0.03183,0.02937,0.03183,0.04489,0.04489
2020-01-02 09:00:00+01:00,0.03174,0.03174,0.02995,0.03174,0.045259999999999995,0.045259999999999995
2020-01-02 10:00:00+01:00,0.03163,0.03163,0.02991,0.03163,0.04557,0.04557
2020-01-02 11:00:00+01:00,0.03132,0.03132,0.02996,0.03132,0.045090000000000005,0.045090000000000005
2020-01-02 12:00:00+01:00,0.03107,0.03107,0.02994,0.03107,0.04516,0.04516
2020-01-02 13:00:00+01:00,0.031059999999999997,0.031059999999999997,0.02994,0.031059999999999997,0.044899999999999995,0.044899999999999995
2020-01-02 14:00:00+01:00,0.03107,0.03107,0.03018,0.03107,0.04406,0.04406
2020-01-02 15:00:00+01:00,0.03126,0.03126,0.03096,0.03126,0.044840000000000005,0.044840000000000005
2020-01-02 16:00:00+01:00,0.03141,0.03141,0.0312,0.03141,0.0444,0.0444
2020-01-02 17:00:00+01:00,0.0314,0.0314,0.03098,0.0314,0.046049999999999994,0.046049999999999994
2020-01-02 18:00:00+01:00,0.031100000000000003,0.031100000000000003,0.030350000000000002,0.031100000000000003,0.04672,0.04672
2020-01-02 19:00:00+01:00,0.03075,0.03075,0.02927,0.03075,0.045259999999999995,0.045259999999999995
2020-01-02 20:00:00+01:00,0.03047,0.03047,0.02817,0.03047,0.03932,0.03932
2020-01-02 21:00:00+01:00,0.030100000000000002,0.030100000000000002,0.02802,0.030100000000000002,0.030100000000000002,0.03406
2020-01-02 22:00:00+01:00,0.02971,0.02971,0.027690000000000003,0.02971,0.02971,0.03222
2020-01-02 23:00:00+01:00,0.02832,0.02832,0.024390000000000002,0.02499,0.02499,0.02499
2020-01-03 00:00:00+01:00,0.02835,0.02835,0.01893,0.01893,0.01893,0.02147
2020-01-03 01:00:00+01:00,0.02825,0.02825,0.009980000000000001,0.009980000000000001,0.009980000000000001,0.01304
2020-01-03 02:00:00+01:00,0.028239999999999998,0.028239999999999998,0.0015300000000000001,0.0015300000000000001,0.0015300000000000001,0.0015300000000000001
2020-01-03 03:00:00+01:00,0.027719999999999998,0.027719999999999998,0.0010400000000000001,0.00014000000000000001,0.00014000000000000001,0.00014000000000000001
2020-01-03 04:00:00+01:00,0.027710000000000002,0.027710000000000002,0.00106,0.00085,0.00085,0.00085
2020-01-03 05:00:00+01:00,0.02809,0.02809,0.00992,0.00992,0.00992,0.00992
2020-01-03 06:00:00+01:00,0.02878,0.02878,0.024480000000000002,0.024480000000000002,0.024480000000000002,0.024480000000000002
2020-01-03 07:00:00+01:00,0.028820000000000002,0.028820000000000002,0.02668,0.02668,0.02668,0.02668
2020-01-03 08:00:00+01:00,0.02926,0.02926,0.028120000000000003,0.02881,0.02881,0.02881
2020-01-03 09:00:00+01:00,0.02966,0.02966,0.028579999999999998,0.02928,0.02928,0.02928
2020-01-03 10:00:00+01:00,0.029920000000000002,0.029920000000000002,0.02816,0.02885,0.02885,0.02885
2020-01-03 11:00:00+01:00,0.030359999999999998,0.030359999999999998,0.02878,0.0318,0.0318,0.0318
2020-01-03 12:00:00+01:00,0.03039,0.03039,0.02831,0.03039,0.037939999999999995,0.037939999999999995
2020-01-03 13:00:00+01:00,0.03024,0.03024,0.02844,0.03024,0.037899999999999996,0.037899999999999996
2020-01-03 14:00:00+01:00,0.03019,0.03019,0.02896,0.03019,0.03811,0.03811
2020-01-03 15:00:00+01:00,0.0304,0.0304,0.02986,0.0304,0.03791,0.03791
2020-01-03 16:00:00+01:00,0.03048,0.03048,0.03015,0.03048,0.038439999999999995,0.038439999999999995
2020-01-03 17:00:00+01:00,0.030440000000000002,0.030440000000000002,0.03007,0.030440000000000002,0.04047,0.04047
2020-01-03 18:00:00+01:00,0.03016,0.03016,0.02954,0.03016,0.041350000000000005,0.041350000000000005
2020-01-03 19:00:00+01:00,0.02975,0.02975,0.02911,0.02983,0.03337,0.03337
2020-01-03 20:00:00+01:00,0.02898,0.02898,0.02791,0.02889,0.02889,0.02889
2020-01-03 21:00:00+01:00,0.02826,0.02826,0.027030000000000002,0.0277,0.0277,0.0277
2020-01-03 22:00:00+01:00,0.02817,0.02817,0.0257,0.0257,0.0257,0.0257
2020-01-03 23:00:00+01:00,0.02836,0.02836,0.02204,0.02204,0.02204,0.02204
2020-01-04 00:00:00+01:00,0.02867,0.02867,0.02173,0.02173,0.02173,0.0229
2020-01-04 01:00:00+01:00,0.02866,0.02866,0.02044,0.01595,0.01595,0.01595
2020-01-04 02:00:00+01:00,0.02861,0.02861,0.02016,0.01623,0.01623,0.01663
2020-01-04 03:00:00+01:00,0.02794,0.02794,0.019620000000000002,0.00645,0.00645,0.00645
2020-01-04 04:00:00+01:00,0.02757,0.02757,0.019030000000000002,0.00383,0.00383,0.00383
2020-01-04 05:00:00+01:00,0.027469999999999998,0.027469999999999998,0.0189,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999
2020-01-04 06:00:00+01:00,0.02776,0.02776,0.019739999999999997,7.000000000000001e-05,7.000000000000001e-05,7.000000000000001e-05
